,hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,daytime,rushhour,weather_score,weather_score_daytime
0,5,5,1,0,0,0,-7.2,-15.0,53.68,0.0,0.0,16.3,31.6,16.0,low_bike_demand,0,0,-0.14195706777811,-0.0
1,21,4,1,0,1,0,-1.3,-12.8,40.97,0.0,0.0,23.9,85.7,16.0,low_bike_demand,0,0,0.07526047008139014,0.0
2,21,3,8,0,1,1,26.9,21.8,73.39,0.0,0.0,0.0,81.1,16.0,low_bike_demand,0,0,0.2612611982966404,0.0
3,1,6,1,0,0,0,3.1,-4.0,59.74,0.0,0.0,19.2,0.0,16.0,low_bike_demand,0,0,-0.05000802827585982,-0.0
4,17,0,3,0,1,0,11.7,-11.4,18.71,0.0,0.0,10.5,44.6,16.0,low_bike_demand,1,1,0.6478458264166904,0.6478458264166904
5,17,3,3,0,1,1,27.1,12.8,40.98,0.0,0.0,13.6,81.3,16.0,high_bike_demand,1,1,0.5318590724267407,0.5318590724267407
6,20,4,7,0,1,1,30.9,24.3,67.71,0.0,0.0,20.3,50.3,16.0,low_bike_demand,0,0,0.3215710003217904,0.0
7,0,1,12,0,1,0,4.9,-1.7,62.46,0.0,0.0,21.5,100.0,16.0,low_bike_demand,0,0,0.03925410243309013,0.0
8,18,0,11,0,1,0,16.6,13.8,83.56,0.0,0.0,18.1,88.9,16.0,low_bike_demand,1,1,0.09912972734979031,0.09912972734979031
9,7,5,1,0,0,0,-4.5,-12.2,55.14,0.0,0.0,12.4,24.4,16.0,low_bike_demand,1,0,-0.11321482893085999,-0.11321482893085999
10,7,3,9,0,1,1,18.7,15.0,78.74,0.0,0.0,9.2,46.2,16.0,high_bike_demand,1,0,0.10465885509234019,0.10465885509234019
11,23,5,5,0,0,1,13.5,2.1,46.11,0.0,0.0,14.2,0.0,16.0,low_bike_demand,0,0,0.20030729875594022,0.0
12,8,2,9,0,1,1,23.2,21.7,91.18,0.0,0.0,10.6,61.7,16.0,low_bike_demand,1,0,0.13252583270164042,0.13252583270164042
13,6,1,6,0,1,1,24.8,22.9,89.07,0.0,0.0,0.0,90.1,14.0,low_bike_demand,0,0,0.18355589832384034,0.0
14,8,6,2,0,0,0,3.7,-2.3,65.11,0.0,0.0,11.0,92.9,16.0,low_bike_demand,1,0,0.0070220508797401715,0.0070220508797401715
15,23,6,12,0,0,0,4.5,-6.6,44.44,0.0,0.0,7.1,24.4,16.0,low_bike_demand,0,0,0.09431661312849016,0.0
16,18,4,12,1,1,0,10.5,-1.0,44.62,0.0,0.0,0.8,92.7,16.0,low_bike_demand,1,1,0.2362411002303404,0.2362411002303404
17,16,6,12,0,0,0,0.0,-12.8,37.61,0.0,0.0,14.8,0.0,16.0,low_bike_demand,1,1,0.06935695282324017,0.06935695282324017
18,21,2,9,0,1,1,23.2,21.2,88.49,0.0,0.0,16.4,79.3,16.0,low_bike_demand,0,0,0.15447893402104018,0.0
19,6,0,7,0,1,1,24.2,21.7,86.23,0.0,0.0,15.6,90.1,15.8,low_bike_demand,0,0,0.18572055851604052,0.0
20,14,5,4,0,0,1,17.7,12.9,73.11,0.0,0.0,7.1,100.0,16.0,high_bike_demand,1,0,0.15640434280739013,0.15640434280739013
21,17,1,9,0,1,1,21.6,5.6,35.2,0.0,0.0,13.5,24.4,16.0,high_bike_demand,1,1,0.4778154627520903,0.4778154627520903
22,0,5,1,0,0,0,12.8,11.3,90.18,0.0,0.0,12.2,99.6,16.0,low_bike_demand,0,0,0.04104936515784041,0.0
23,19,3,12,0,1,0,6.6,1.5,69.97,0.0,0.0,19.9,99.8,16.0,low_bike_demand,1,1,0.028580679887990068,0.028580679887990068
24,23,0,7,0,1,1,23.7,21.1,85.64,0.0,0.0,7.3,81.1,15.9,low_bike_demand,0,0,0.17488485705079027,0.0
25,17,1,10,0,1,1,17.1,14.3,83.55,0.0,0.0,5.3,100.0,15.9,high_bike_demand,1,1,0.11361680983009015,0.11361680983009015
26,10,1,12,0,1,0,1.0,-6.1,59.27,0.0,0.0,0.0,26.2,16.0,low_bike_demand,1,0,-0.054723049675559854,-0.054723049675559854
27,16,4,12,0,1,0,10.7,2.8,58.05,0.0,0.0,7.3,96.4,16.0,low_bike_demand,1,1,0.1405284792444902,0.1405284792444902
28,1,0,10,0,1,1,17.1,12.8,75.84,0.0,0.0,17.8,79.3,16.0,low_bike_demand,0,0,0.12468119781824027,0.0
29,23,2,5,0,1,1,11.6,7.1,74.04,0.0,0.0,20.2,35.9,16.0,low_bike_demand,0,0,0.028665712671040344,0.0
30,10,0,11,0,1,0,12.3,2.2,50.24,0.0,0.0,16.2,0.0,16.0,low_bike_demand,1,0,0.14654111704764017,0.14654111704764017
